metric_label,view,content_type,dataset_summary,descriptive_statistics,trend_test_summary,group_test_summary
Linked time,per-repo,UR,563 samples | 24 repos | 36 months,"mean=181.5884, median=181.2832, IQR=[140.2215, 229.1000] (range=88.8785), variance=5191.9394, std=72.0551","tau=-0.2159 (p=0.06396), slope=-7.2624/year [-15.0854, 0.8862], n=36","method=anova, statistic=1.1585, p-value=0.2483, groups=36, sizes=(0:24, 1:20, 2:16, 3:14, 4:17, 5:15, 6:19, 7:17, 8:17, 9:16, 10:14, 11:16, 12:19, 13:17, 14:17, 15:18, 16:17, 17:16, 18:16, 19:15, 20:19, 21:19, 22:14, 23:14, 24:16, 25:16, 26:15, 27:13, 28:15, 29:14, 30:15, 31:13, 32:12, 33:10, 34:9, 35:9)"
Linked time,per-repo,PR,593 samples | 24 repos | 36 months,"mean=41.9705, median=15.6394, IQR=[7.0000, 37.2069] (range=30.2069), variance=5128.7414, std=71.6152","tau=-0.0095 (p=0.9349), slope=-0.1322/year [-4.7863, 5.2721], n=36","method=kruskal-wallis, statistic=27.8338, p-value=0.8001, groups=36, sizes=(0:24, 1:15, 2:17, 3:19, 4:17, 5:16, 6:17, 7:19, 8:20, 9:18, 10:18, 11:18, 12:21, 13:18, 14:19, 15:16, 16:17, 17:17, 18:18, 19:18, 20:18, 21:17, 22:17, 23:18, 24:18, 25:16, 26:13, 27:14, 28:13, 29:12, 30:13, 31:13, 32:13, 33:13, 34:11, 35:12)"
Linked time,all-repos,UR,36 samples | 1 repos | 36 months,"mean=180.3893, median=179.0174, IQR=[163.2067, 193.2634] (range=30.0567), variance=375.1822, std=19.3696","tau=-0.2159 (p=0.06396), slope=-7.2624/year [-15.0854, 0.8862], n=36","method=kruskal-wallis, statistic=35.0000, p-value=0.4682, groups=36, sizes=(0:1, 1:1, 2:1, 3:1, 4:1, 5:1, 6:1, 7:1, 8:1, 9:1, 10:1, 11:1, 12:1, 13:1, 14:1, 15:1, 16:1, 17:1, 18:1, 19:1, 20:1, 21:1, 22:1, 23:1, 24:1, 25:1, 26:1, 27:1, 28:1, 29:1, 30:1, 31:1, 32:1, 33:1, 34:1, 35:1)"
Linked time,all-repos,PR,36 samples | 1 repos | 36 months,"mean=42.3656, median=40.9718, IQR=[33.1709, 49.0156] (range=15.8447), variance=121.9637, std=11.0437","tau=-0.0095 (p=0.9349), slope=-0.1322/year [-4.7863, 5.2721], n=36","method=kruskal-wallis, statistic=35.0000, p-value=0.4682, groups=36, sizes=(0:1, 1:1, 2:1, 3:1, 4:1, 5:1, 6:1, 7:1, 8:1, 9:1, 10:1, 11:1, 12:1, 13:1, 14:1, 15:1, 16:1, 17:1, 18:1, 19:1, 20:1, 21:1, 22:1, 23:1, 24:1, 25:1, 26:1, 27:1, 28:1, 29:1, 30:1, 31:1, 32:1, 33:1, 34:1, 35:1)"
