metric_key,content_type,category,dataset_summary,descriptive_statistics,trend_test_summary,month_comparison_summary,app_comparison_summary,category_comparison_summary
linked_ratio,UR,,"705 samples, 24 repos, 36 months","mean=0.3631, median=0.3333, IQR=[0.1429, 0.5000] (range=0.3571), variance=0.0838, std=0.2895","tau=0.0297 (p=0.2591), slope=0.0000/year [0.0000, 0.0106], n=705","method=kruskal-wallis, statistic=32.1587, p-value=0.606, groups=36, sizes=(0:13, 1:17, 2:18, 3:19, 4:20, 5:20, 6:19, 7:18, 8:21, 9:20, 10:19, 11:23, 12:21, 13:22, 14:22, 15:22, 16:23, 17:21, 18:21, 19:22, 20:20, 21:22, 22:21, 23:17, 24:18, 25:20, 26:21, 27:20, 28:20, 29:19, 30:19, 31:17, 32:18, 33:18, 34:18, 35:16)","method=kruskal-wallis, statistic=179.0440, p-value=3.929e-26, groups=24, sizes=(10_hrydgard.ppsspp_Hedonic:36, 11_immich-app.immich_Utilitarian:30, 12_jellyfin.jellyfin-androidtv_Hedonic:24, 13_Jigsaw-Code.outline-apps_Utilitarian:36, 15_johannesjo.super-productivity_Utilitarian:29, 16_laurent22.joplin_Utilitarian:32, 17_LemmyNet.jerboa_Hedonic:22, 18_luanti-org.luanti_Hedonic:36, 19_mullvad.mullvadvpn-app_Utilitarian:36, 1_aeharding.voyager_Hedonic:27, 20_nextcloud.talk-android_Hedonic:35, 21_organicmaps.organicmaps_Utilitarian:36, 23_owntracks.android_Hedonic:30, 25_simplex-chat.simplex-chat_Hedonic:33, 27_streetwriters.notesnook_Utilitarian:28, 28_tasks.tasks_Utilitarian:36, 2_commons-app.apps-android-commons_Hedonic:18, 30_xbmc.xbmc_Hedonic:36, 4_crawl.crawl_Hedonic:31, 5_d4rken-org.sdmaid-se_Utilitarian:17, 6_element-hq.element-android_Hedonic:36, 7_element-hq.element-x-android_Hedonic:25, 8_fossasia.pslab-app_Utilitarian:8, 9_horizontalsystems.unstoppable-wallet-android_Utilitarian:28)","method=kruskal-wallis, statistic=48.4285, p-value=3.426e-12, groups=2, sizes=(Hedonic:389, Utilitarian:316)"
linked_ratio,PR,,"730 samples, 24 repos, 36 months","mean=0.2998, median=0.2748, IQR=[0.1119, 0.4428] (range=0.3309), variance=0.0578, std=0.2404","tau=0.0209 (p=0.4118), slope=0.0000/year [0.0000, 0.0164], n=730","method=kruskal-wallis, statistic=16.4835, p-value=0.9967, groups=36, sizes=(0:19, 1:20, 2:21, 3:20, 4:22, 5:22, 6:21, 7:20, 8:22, 9:21, 10:20, 11:22, 12:22, 13:22, 14:22, 15:21, 16:20, 17:20, 18:19, 19:20, 20:18, 21:21, 22:21, 23:20, 24:20, 25:19, 26:20, 27:20, 28:20, 29:19, 30:20, 31:20, 32:19, 33:19, 34:19, 35:19)","method=kruskal-wallis, statistic=382.4226, p-value=7.29e-67, groups=24, sizes=(10_hrydgard.ppsspp_Hedonic:36, 11_immich-app.immich_Utilitarian:36, 12_jellyfin.jellyfin-androidtv_Hedonic:36, 13_Jigsaw-Code.outline-apps_Utilitarian:36, 15_johannesjo.super-productivity_Utilitarian:36, 16_laurent22.joplin_Utilitarian:32, 17_LemmyNet.jerboa_Hedonic:33, 18_luanti-org.luanti_Hedonic:35, 19_mullvad.mullvadvpn-app_Utilitarian:36, 1_aeharding.voyager_Hedonic:28, 20_nextcloud.talk-android_Hedonic:31, 21_organicmaps.organicmaps_Utilitarian:36, 23_owntracks.android_Hedonic:14, 25_simplex-chat.simplex-chat_Hedonic:36, 27_streetwriters.notesnook_Utilitarian:15, 28_tasks.tasks_Utilitarian:3, 2_commons-app.apps-android-commons_Hedonic:34, 30_xbmc.xbmc_Hedonic:36, 4_crawl.crawl_Hedonic:36, 5_d4rken-org.sdmaid-se_Utilitarian:17, 6_element-hq.element-android_Hedonic:36, 7_element-hq.element-x-android_Hedonic:27, 8_fossasia.pslab-app_Utilitarian:29, 9_horizontalsystems.unstoppable-wallet-android_Utilitarian:36)","method=kruskal-wallis, statistic=35.5076, p-value=2.541e-09, groups=2, sizes=(Hedonic:418, Utilitarian:312)"
