metric_key,content_type,category,dataset_summary,descriptive_statistics,trend_test_summary,month_comparison_summary,app_comparison_summary,category_comparison_summary
linked_ratio,UR,Hedonic,"389 samples, 13 repos, 36 months","mean=0.4323, median=0.4362, IQR=[0.2294, 0.5739] (range=0.3444), variance=0.0950, std=0.3082","tau=0.0069 (p=0.8464), slope=0.0000/year [0.0000, 0.0000], n=389","method=kruskal-wallis, statistic=28.3926, p-value=0.7778, groups=36, sizes=(0:6, 1:10, 2:10, 3:11, 4:10, 5:10, 6:10, 7:11, 8:11, 9:11, 10:10, 11:13, 12:12, 13:13, 14:12, 15:12, 16:12, 17:11, 18:13, 19:13, 20:12, 21:13, 22:12, 23:9, 24:10, 25:11, 26:13, 27:11, 28:11, 29:10, 30:11, 31:9, 32:10, 33:9, 34:10, 35:7)","method=kruskal-wallis, statistic=80.2300, p-value=3.731e-12, groups=13, sizes=(10_hrydgard.ppsspp:36, 12_jellyfin.jellyfin-androidtv:24, 17_LemmyNet.jerboa:22, 18_luanti-org.luanti:36, 1_aeharding.voyager:27, 20_nextcloud.talk-android:35, 23_owntracks.android:30, 25_simplex-chat.simplex-chat:33, 2_commons-app.apps-android-commons:18, 30_xbmc.xbmc:36, 4_crawl.crawl:31, 6_element-hq.element-android:36, 7_element-hq.element-x-android:25)",
linked_ratio,PR,Hedonic,"418 samples, 13 repos, 36 months","mean=0.3482, median=0.3333, IQR=[0.1429, 0.5229] (range=0.3800), variance=0.0673, std=0.2594","tau=-0.0058 (p=0.8623), slope=0.0000/year [-0.0256, 0.0199], n=418","method=kruskal-wallis, statistic=18.6802, p-value=0.9891, groups=36, sizes=(0:11, 1:12, 2:13, 3:12, 4:12, 5:13, 6:12, 7:11, 8:12, 9:12, 10:11, 11:13, 12:12, 13:12, 14:13, 15:12, 16:11, 17:12, 18:11, 19:13, 20:11, 21:12, 22:12, 23:12, 24:12, 25:11, 26:12, 27:12, 28:11, 29:10, 30:11, 31:11, 32:10, 33:10, 34:10, 35:11)","method=kruskal-wallis, statistic=204.4691, p-value=3.895e-37, groups=13, sizes=(10_hrydgard.ppsspp:36, 12_jellyfin.jellyfin-androidtv:36, 17_LemmyNet.jerboa:33, 18_luanti-org.luanti:35, 1_aeharding.voyager:28, 20_nextcloud.talk-android:31, 23_owntracks.android:14, 25_simplex-chat.simplex-chat:36, 2_commons-app.apps-android-commons:34, 30_xbmc.xbmc:36, 4_crawl.crawl:36, 6_element-hq.element-android:36, 7_element-hq.element-x-android:27)",
linked_ratio,UR,Utilitarian,"316 samples, 11 repos, 36 months","mean=0.2781, median=0.2679, IQR=[0.0600, 0.4000] (range=0.3400), variance=0.0570, std=0.2387","tau=0.0630 (p=0.1091), slope=0.0000/year [0.0000, 0.0387], n=316","method=kruskal-wallis, statistic=34.7227, p-value=0.4814, groups=36, sizes=(0:7, 1:7, 2:8, 3:8, 4:10, 5:10, 6:9, 7:7, 8:10, 9:9, 10:9, 11:10, 12:9, 13:9, 14:10, 15:10, 16:11, 17:10, 18:8, 19:9, 20:8, 21:9, 22:9, 23:8, 24:8, 25:9, 26:8, 27:9, 28:9, 29:9, 30:8, 31:8, 32:8, 33:9, 34:8, 35:9)","method=kruskal-wallis, statistic=68.8772, p-value=7.301e-11, groups=11, sizes=(11_immich-app.immich:30, 13_Jigsaw-Code.outline-apps:36, 15_johannesjo.super-productivity:29, 16_laurent22.joplin:32, 19_mullvad.mullvadvpn-app:36, 21_organicmaps.organicmaps:36, 27_streetwriters.notesnook:28, 28_tasks.tasks:36, 5_d4rken-org.sdmaid-se:17, 8_fossasia.pslab-app:8, 9_horizontalsystems.unstoppable-wallet-android:28)",
linked_ratio,PR,Utilitarian,"312 samples, 11 repos, 36 months","mean=0.2348, median=0.2500, IQR=[0.0000, 0.3333] (range=0.3333), variance=0.0377, std=0.1942","tau=0.0472 (p=0.2311), slope=0.0000/year [0.0000, 0.0229], n=312","method=kruskal-wallis, statistic=19.1721, p-value=0.9863, groups=36, sizes=(0:8, 1:8, 2:8, 3:8, 4:10, 5:9, 6:9, 7:9, 8:10, 9:9, 10:9, 11:9, 12:10, 13:10, 14:9, 15:9, 16:9, 17:8, 18:8, 19:7, 20:7, 21:9, 22:9, 23:8, 24:8, 25:8, 26:8, 27:8, 28:9, 29:9, 30:9, 31:9, 32:9, 33:9, 34:9, 35:8)","method=kruskal-wallis, statistic=160.5982, p-value=2.438e-29, groups=11, sizes=(11_immich-app.immich:36, 13_Jigsaw-Code.outline-apps:36, 15_johannesjo.super-productivity:36, 16_laurent22.joplin:32, 19_mullvad.mullvadvpn-app:36, 21_organicmaps.organicmaps:36, 27_streetwriters.notesnook:15, 28_tasks.tasks:3, 5_d4rken-org.sdmaid-se:17, 8_fossasia.pslab-app:29, 9_horizontalsystems.unstoppable-wallet-android:36)",
